Nov 26, 2023 12:15:30 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Nov 26, 2023 12:15:32 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Nov 26, 2023 12:15:32 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock C:\Users\User\GitRepositories\Karaf\lock
Nov 26, 2023 12:15:32 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Nov 26, 2023 12:15:32 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2023-11-26T12:15:32,907 | INFO  | CM Configuration Updater (Update: pid=org.ops4j.pax.logging) | EventAdminConfigurationNotifier  | 7 - org.ops4j.pax.logging.pax-logging-api - 2.2.3 | Sending Event Admin notification (configuration successful) to org/ops4j/pax/logging/Configuration
2023-11-26T12:15:38,340 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.jaas.command/4.4.4
2023-11-26T12:15:38,342 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.4
2023-11-26T12:15:38,344 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.4
2023-11-26T12:15:38,345 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.instance.core/4.4.4
2023-11-26T12:15:38,368 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.instance.core/4.4.4
2023-11-26T12:15:38,370 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.shell.ssh/4.4.4
2023-11-26T12:15:38,410 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Command registration delayed for bundle org.apache.karaf.shell.ssh/4.4.4. Missing service: [org.apache.sshd.server.SshServer]
2023-11-26T12:15:38,411 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.log.core/4.4.4
2023-11-26T12:15:38,425 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.log.core/4.4.4
2023-11-26T12:15:38,433 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.shell.commands/4.4.4
2023-11-26T12:15:38,450 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.shell.commands/4.4.4
2023-11-26T12:15:38,450 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.4 |   org.apache.karaf.bundle.core/4.4.4
2023-11-26T12:15:38,496 | INFO  | features-3-thread-1 | CommandExtension                 | 44 - org.apache.karaf.shell.core - 4.4.4 | Registering commands for bundle org.apache.karaf.bundle.core/4.4.4
